Keysight E1733A String Table
English

[1],Linear,Linear
[2],Angular,Angular
[3],Straightness,Straightness
[4],Squareness,Squareness
[5],Parallelism,Parallelism
[6],Rotary,Rotary
[7],Way Straightness,Way Straightness
[8],Flatness,Flatness
[9],Diagonal,Diagonal
[10],Lin. Time Base,Lin. Time Base
[11],Ang. Time Base,Ang. Time Base
[12],Str. Time Base,Str. Time Base
[13],Lin. Dual Axes,Lin. Dual Axes
[14],Start,Start
[15],Max,Max
[16],Min,Min
[17],Mean,Mean
[18],End,End
[19],Location,Location
[20],T start,T start
[21],T end,T end
[22],Auto,Auto
[23],Manual,Manual
[24],Metric,Metric
[25],English,English
[26],Bidirectional,Bidirectional
[27],Unidirectional,Unidirectional
[28],Pilgrim,Pilgrim
[29],Spindle,Spindle
[30],Coplanar,Coplanar
[31],Short Range,Short Range
[32],Long Range,Long Range
[33],Encoder,Encoder
[34],Up/Down,Up/Down
[35],Position,Position
[36],Total Time,Total Time
[37],Total Points,Total Points
[38],User,User
[39],Repeatability,Repeatability
[40],Mean Reversal Error,Mean Reversal Error
[41],Sys. Dev. Pos.,Sys. Dev. Pos.
[42],Raw Accuracy,Raw Accuracy
[43],Raw Repeatability,Raw Repeatability
[44],Max Reversal Error,Max Reversal Error
[45],6 Sigma (total pop.),6 Sigma (total pop.)
[46],Slope,Slope
[47],Least Squares,Least Squares
[48],End Points,End Points
[49],Forward Data Runs,Forward Data Runs
[50],Forward Mean,Forward Mean
[51],Forward +/-n sigma,Forward +/-n sigma
[52],Reverse Data Runs,Reverse Data Runs
[53],Reverse Mean,Reverse Mean
[54],Reverse +/-n sigma,Reverse +/-n sigma
[55],Combined Mean,Combined Mean
[56],Combined +/-n sigma,Combined +/-n sigma
[57],Remove Raw Offset,Remove Raw Offset
[58],Mean Bidir. Pos. Dev.,Mean Bidir. Pos. Dev.
[59],Backlash / pt.,Backlash / pt.
[60],Laser,Laser
[61],Error,Error
[62],Target,Target
[63],Rotary,Rotary
[64],Angle,Angle
[65],Time,Time
[66],Velocity,Velocity
[67],Station,Station
[68],Correction,Correction
[69],Absolute,Absolute
[70],Incremental,Incremental
[71],Algebraic,Algebraic
[72],Calibrator,Calibrator
[73],Acceleration,Acceleration
[74],Statistics,Statistics
[75],Graph,Graph
[76],Data,Data
[77],Comp.,Comp.
[78],Env.,Env.
[79],All,All
[80],No,No
[81],Yes,Yes
[82],Moody Analyzed,Moody Analyzed
[83],Licensed E1735A,Licensed E1735A
[84],Keyboard Error,Keyboard Error
[85],Measurement Type,Measurement Type
[86],Current Date,Current Date
[87],Error,Error
[88],Standards,Standards
[89],Modified,Modified
[90],User Defined,User Defined
[91],Auto Reset After Error,Auto Reset After Error
[92],Beep on Record,Beep on Record
[93],Same As Axis 1,Same As Axis 1
[94],Auto Time Scale,Auto Time Scale
[95],Stop On Error,Stop On Error
[96],Limit Lines,Limit Lines
[97],User Scale,User Scale
[98],Legend,Legend
[99],Targets in Row,Targets in Row
[100],Goto Row,Goto Row
[101],Max. Elevation,Max. Elevation
[102],Air Pressure,Air Pressure
[103],Air Temperature,Air Temperature
[104],Relative Humidity,Relative Humidity
[105],Material Temp. 1,Material Temp. 1
[106],Material Temp. 2,Material Temp. 2
[107],Material Temp. 3,Material Temp. 3
[108],Update Method,Update Method
[109],Environmental Units,Environmental Units
[110],Environmental Compensation,Environmental Compensation
[111],Laser Wavelength,Laser Wavelength
[112],Wavelength Compensation,Wavelength Compensation
[113],Total Compensation Number,Total Compensation Number
[114],Travel,Travel
[115],Measurement Axis,Measurement Axis
[116],Travel Mode,Travel Mode
[117],No. of Cycles,No. of Cycles
[118],Direction,Direction
[119],Targets,Targets
[120],Start Position,Start Position
[121],End Position,End Position
[122],No. of Points,No. of Points
[123],Interval,Interval
[124],Foot Spacing,Foot Spacing
[125],Way Length,Way Length
[126],# of Stations,# of Stations
[127],Analyze Data,Analyze Data
[128],Material Compensation,Material Compensation
[129],Expans. Coeff.,Expans. Coeff.
[130],Units,Units
[131],Error Units,Error Units
[132],Position Units,Position Units
[133],Display Resolution,Display Resolution
[134],Measurement Units,Measurement Units
[135],Other,Other
[136],Rotary Resolution,Rotary Resolution
[137],Optical Square,Optical Square
[138],Averaging,Averaging
[139],Calibration Factor,Calibration Factor
[140],Dead Path,Dead Path
[141],Preset,Preset
[142],Trigger,Trigger
[143],Encoder Resolution,Encoder Resolution
[144],Trigger Type,Trigger Type
[145],Target Window,Target Window
[146],Trigger Dwell,Trigger Dwell
[147],Test Conditions,Test Conditions
[148],Temperature Sensor,Temperature Sensor
[149],Material Sensor #1,Material Sensor #1
[150],Material Sensor #2,Material Sensor #2
[151],Material Sensor #3,Material Sensor #3
[152],Air Sensor,Air Sensor
[153],Test Parameters,Test Parameters
[154],Type of Scale,Type of Scale
[155],Compensation Used,Compensation Used
[156],Feed Rate,Feed Rate
[157],NDE Correction (yes or no),NDE Correction (yes or no)
[158],Dwell Time at Each Target Position,Dwell Time at Each Target Position
[159],Measuring Information,Measuring Information
[160],Measuring Instrument and Serial No.,Measuring Instrument and Serial No.
[161],Name of Inspector,Name of Inspector
[162],Date of Test,Date of Test
[163],Machine Name,Machine Name
[164],Machine Type,Machine Type
[165],Machine Serial No.,Machine Serial No.
[166],Machine Name; Type and Serial No.,Machine Name; Type and Serial No.
[167],Test Location,Test Location
[168],Position of axes not under test,Position of axes not under test
[169],Coefficient of Thermal Expansion of Scale,Coefficient of Thermal Expansion of Scale
[170],Offset to Tool Reference (X/Y/Z),Offset to Tool Reference (X/Y/Z)
[171],Offset to Workpiece Reference (X/Y/Z),Offset to Workpiece Reference (X/Y/Z)
[172],Stop Timer,Stop Timer
[173],Start Timer,Start Timer
[174],Timer,Timer
[175],No. of Points,No. of Points
[176],Total Time,Total Time
[177],Coverage Factor,Coverage Factor
[178],Numerical Analysis,Numerical Analysis
[179],Graphic Analysis,Graphic Analysis
[180],Machine Model No.,Machine Model No.
[181],Asset No.,Asset No.
[182],Filename,Filename
[183],Comments,Comments
[184],End Point Time Out,End Point Time Out
[185],Time Base,Time Base
[186],Default Path,Default Path
[187],Language,Language
[188],System,System
[189],Error Sign Convention,Error Sign Convention
[190],Machine Zero Point,Machine Zero Point
[191],Machine Units,Machine Units
[192],Measurement Setup,Measurement Setup
[193],Machine Information,Machine Information
[194],ISO Information,ISO Information
[195],Data Analysis,Data Analysis
[196],Axis:,Axis:
[197],Deviation,Deviation
[198],Port,Port
[199],Sensor,Sensor
[200],Description,Description
[201],Used for,Used for
[202],USB Axis Module,USB Axis Module
[203],Sensor Hub,Sensor Hub
[204],Material Sensor,Material Sensor
[205],Air Sensor,Air Sensor
[206],Serial No.,Serial No.
[207],Hardware,Hardware
[208],Test Record Button,Test Record Button
[209],Hardware Not Ready,Hardware Not Ready
[210],No License,No License
[211],Laser Off or Warming Up,Laser Off or Warming Up
[212],No Return Beam,No Return Beam
[213],Reset Position,Reset Position
[214],Optics Out Of Range,Optics Out Of Range
[215],Nameplate,Nameplate
[216],Step 1: Reset laser and rotary at 0 arcdeg,Step 1: Reset laser and rotary at 0 arcdeg
[217],Step 2: Sample between -3 and -4 arcdeg,Step 2: Sample between -3 and -4 arcdeg
[218],Step 3: Sample between +3 and +4 arcdeg,Step 3: Sample between +3 and +4 arcdeg
[219],Agilent Technologies Inc.,Agilent Technologies Inc.
[220],Revision,Revision
[221],Dimensional Metrology Software,Dimensional Metrology Software
[222],All Rights Reserved,All Rights Reserved
[223],Open,Open
[224],Setup,Setup
[225],Start,Start
[226],Reset,Reset
[227],Continue,Continue
[228],Stop,Stop
[229],Save,Save
[230],Print,Print
[231],Record,Record
[232],Erase,Erase
[233],Help,Help
[234],Exit,Exit
[235],OK,OK
[236],Cancel,Cancel
[237],Calibrate,Calibrate
[238],Recalculate,Recalculate
[239],Apply,Apply
[240],Import,Import
[241],Setup + Data,Setup + Data
[242],All Data,All Data
[243],Last Run,Last Run
[244],Last Data,Last Data
[245],Setup Only,Setup Only
[246],Raw Data,Raw Data
[247],Compensation Table,Compensation Table
[248],Environmental Data,Environmental Data
[249],Setup Printer,Setup Printer
[250],Report,Report
[251],Collecting data . . .,Collecting data . . .
[252],Text File,Text File
[253],CSV (comma delimited),CSV (comma delimited)
[254],Plus/Minus,Plus/Minus
[255],Closure,Closure
[256],Elevation,Elevation
[257],Data Point,Data Point
[258],Combined,Combined
[259],Forward,Forward
[260],Reverse,Reverse
[261],Warning,Warning
[262],Tested Axis,Tested Axis
[263],Axis Deviation,Axis Deviation
[264],Reversal Value,Reversal Value
[265],Mean Reversal Value,Mean Reversal Value
[266],Range Mean Bidirectional Positional Deviation,Range Mean Bidirectional Positional Deviation
