Keysight E1733A String Table
French

[1],Linear,Lineaire
[2],Angular,Angulaire
[3],Straightness,Rectitude
[4],Squareness,Perpendicularité
[5],Parallelism,Parallélisme
[6],Rotary,Rotation
[7],Way Straightness,Rectitude Chemin
[8],Flatness,Planéité
[9],Diagonal,Diagonale
[10],Lin. Time Base,Base tps lin.
[11],Ang. Time Base,Base tps ang.
[12],Str. Time Base,Base tps rect.
[13],Lin. Dual Axes,Double axes
[14],Start,Départ
[15],Max,Max.
[16],Min,Min.
[17],Mean,Moy.
[18],End,Fin
[19],Location,Position
[20],T start,T au début
[21],T end,T à la fin
[22],Auto,Auto
[23],Manual,Manuel
[24],Metric,Métriques
[25],English,Anglaises
[26],Bidirectional,Bidirectionnel
[27],Unidirectional,Unidirectionnel
[28],Pilgrim,Pélerin
[29],Spindle,Broche
[30],Coplanar,Co-linéaire
[31],Short Range,Courte dist.
[32],Long Range,Longue dist.
[33],Encoder,Codeur
[34],Up/Down,Haut/Bas
[35],Position,Position
[36],Total Time,Temps total
[37],Total Points,Nb pts total
[38],User,Utilisateur
[39],Repeatability,Répétabilité
[40],Mean Reversal Error,Jeu moyen
[41],Sys. Dev. Pos.,Éc.Pos.Sys.Bi.
[42],Raw Accuracy,Précision brute
[43],Raw Repeatability,Répétabilité brute
[44],Max Reversal Error,Jeu maximal
[45],6 Sigma (total pop.),6 Sigma (pop. tot.)
[46],Slope,Pente
[47],Least Squares,Moindres carrés
[48],End Points,Points de fin
[49],Forward Data Runs,Passes Aller
[50],Forward Mean,Moyenne Aller
[51],Forward +/-n sigma,+/- sigma Aller
[52],Reverse Data Runs,Passes Retour
[53],Reverse Mean,Moyenne Retour
[54],Reverse +/-n sigma,+/- sigma Retour
[55],Combined Mean,Moyenne combinée
[56],Combined +/-n sigma,+/- sigma Moyenne
[57],Remove Raw Offset,Suppr. décal. du zéro
[58],Mean Bidir. Pos. Dev.,Ét. éc. pos. bid. moyen
[59],Backlash / pt.,Jeu / point
[60],Laser,Laser
[61],Error,Erreur
[62],Target,Cible
[63],Rotary,Rotation
[64],Angle,Angle
[65],Time,Temps
[66],Velocity,Vitesse
[67],Station,Position
[68],Correction,Correction
[69],Absolute,Absolu
[70],Incremental,Incrémental
[71],Algebraic,Algébrique
[72],Calibrator,Calibrateur
[73],Acceleration,Accélération
[74],Statistics,Statistique
[75],Graph,Graphique
[76],Data,Données
[77],Comp.,Comp.
[78],Env.,Env.
[79],All,Tous
[80],No,Non
[81],Yes,Oui
[82],Moody Analyzed,Analyse Moody
[83],Licensed E1735A,Licence E1735A
[84],Keyboard Error,Erreur clavier
[85],Measurement Type,Type de mesure
[86],Current Date,Date actuelle
[87],Error,Erreur
[88],Standards,Normes
[89],Modified,Modifiée
[90],User Defined,Déf. par util.
[91],Auto Reset After Error,Auto Reset après erreur
[92],Beep on Record,Signal sonore
[93],Same As Axis 1,Idem axe 1
[94],Auto Time Scale,Echelle auto.
[95],Stop On Error,Arrêt sur erreur
[96],Limit Lines,Lignes limites
[97],User Scale,Echelle util.
[98],Legend,Légende
[99],Targets in Row,Tri par cibles
[100],Goto Row,Aller rang
[101],Max. Elevation,Élévation maxi
[102],Air Pressure,Pression air
[103],Air Temperature,Température air
[104],Relative Humidity,Humidité relative
[105],Material Temp. 1,Temp. matériau 1
[106],Material Temp. 2,Temp. matériau 2
[107],Material Temp. 3,Temp. matériau 3
[108],Update Method,Méthode d'acquisition
[109],Environmental Units,Unités d'environnement
[110],Compensation,Compensation d'environnement
[111],Laser Wavelength,Longueur d'onde
[112],Wavelength Compensation,Compensation long. d'onde
[113],Total Compensation Number,Nombre total compensation
[114],Travel,Mode
[115],Measurement Axis,Axe de mesure
[116],Travel Mode,Mode
[117],No. of Cycles,Nbre cycles
[118],Direction,Sens
[119],Targets,Cibles
[120],Start Position,Point départ
[121],End Position,Point d'arrivée
[122],No. of Points,Nbre points
[123],Interval,Intervalle
[124],Foot Spacing,Embase
[125],Way Length,Longueur
[126],# of Stations,Nb positions
[127],Analyze Data,Analyse données
[128],Material Compensation,Compensation matériau
[129],Expans. Coeff.,Coeff. dilat.
[130],Units,Unités
[131],Error Units,Unités d'erreur
[132],Position Units,Unités position
[133],Display Resolution,Résol. Affichage
[134],Measurement Units,Unités mesure
[135],Other,Autre
[136],Rotary Resolution,Résolution rotation
[137],Optical Square,Equerre optique
[138],Averaging,Moyennage
[139],Calibration Factor,Facteur étal.
[140],Dead Path,Chemin mort
[141],Preset,Prédéf.
[142],Trigger,Déclenchement
[143],Encoder Resolution,Résolution codeur
[144],Trigger Type,Déclenchement
[145],Target Window,Fenêtre cible
[146],Trigger Dwell,Temps d'attente
[147],Test Conditions,Conditions du test
[148],Temperature Sensor,Capteur température
[149],Material Sensor #1,Capteur température matériau 1
[150],Material Sensor #2,Capteur température matériau 2
[151],Material Sensor #3,Capteur température matériau 3
[152],Air Sensor,Capteur température air
[153],Test Parameters,Paramètres du test
[154],Type of Scale,Type d'échelle
[155],Compensation Used,Compensation utilisée
[156],Feed Rate,Vitesse d'avance
[157],NDE Correction (yes or no),Correction DDN (oui ou non)
[158],Dwell Time at Each Target Position,Temps d'arrêt à chaque point visé
[159],Measuring Information,Information mesure
[160],Measuring Instrument and Serial No.,Instrument de mesure et n° de série
[161],Name of Inspector,Nom de l'inspecteur
[162],Date of Test,Date de l'essai
[163],Machine Name,Nom machine
[164],Machine Type,Type machine
[165],Machine Serial No.,N° de série
[166],Machine Name; Type and Serial No.,"Nom, type et n° de série machine"
[167],Test Location,Emplacement de l'essai
[168],Position of axes not under test,Position des axes non soumis à l'essai
[169],Coefficient of Thermal Expansion of Scale,Coefficient de dilatation thermique de la règle
[170],Offset to Tool Reference (X/Y/Z),Décalage / référence outil (X/Y/Z)
[171],Offset to Workpiece Reference (X/Y/Z),Décalage / référence pièce (X/Y/Z)
[172],Stop Timer,Arrêt horloge
[173],Start Timer,Départ horloge
[174],Timer,Timer
[175],No. of Points,Nbre points
[176],Total Time,Temps total
[177],Coverage Factor,Nb d'écarts type
[178],Numerical Analysis,Analyse numérique
[179],Graphic Analysis,Analyse graphique
[180],Machine Model No.,Modèle machine
[181],Asset No.,N° inventaire
[182],Filename,Fichier
[183],Comments,Comment.
[184],End Point Time Out,Fin de décompte
[185],Time Base,Base Temps
[186],Default Path,Chemin par défaut
[187],Language,Langue
[188],System,Système
[189],Error Sign Convention,Convention de signe d'erreur
[190],Zero Point,Point zéro machine
[191],Machine Units,Unités machine
[192],Measurement Setup,Paramétrage mesure
[193],Machine Information,Information machine
[194],ISO Information,Information ISO
[195],Data Analysis,Analyse données
[196],Axis:,Axe:
[197],Deviation,Écart
[198],Port,Port
[199],Sensor,Capteur
[200],Description,Description
[201],Used for,Utilisé pour
[202],USB Axis Module,Module d'axe USB
[203],Sensor Hub,Module capteurs
[204],Material Sensor,Capteur matériau
[205],Air Sensor,Capteur air
[206],Serial No.,N° série
[207],Hardware,Matériel
[208],Test Record Button,Test du bouton Enregistrer
[209],Hardware Not Ready,Matériel pas prêt
[210],No License,Pas de licence
[211],Laser Off or Warming Up,Laser désactivé ou démarrage
[212],No Return Beam,Pas de retour faisceau
[213],Reset Position,Réinit. position
[214],Optics Out Of Range,Optique hors capacité
[215],Nameplate,Identification
[216],Step 1: Reset laser and rotary at 0 arcdeg,Étape 1: positionner le système à 0 degré
[217],Step 2: Sample between -3 and -4 arcdeg,Étape 2: se déplacer entre -3 et -4 degrés
[218],Step 3: Sample between +3 and +4 arcdeg,Étape 3: se déplacer entre 3 et 4 degrés
[219],Keysight Technologies Inc.,Keysight Technologies Inc.
[220],Revision,Révision
[221],Dimensional Metrology Software,Logiciel de Mesure Dimensionnelle
[222],All Rights Reserved,Tous droits réservés
[223],Open,Ouvrir
[224],Setup,Configuration
[225],Start,Début
[226],Reset,Initialisation
[227],Continue,Continuer
[228],Stop,Arrêter
[229],Save,Sauvegarde
[230],Print,Imprimer
