Keysight E1733A String Table
German

[1],Linear,Linear
[2],Angular,Winkel
[3],Straightness,Geradheit
[4],Squareness,Rechtwinkligkeit
[5],Parallelism,Parallelität
[6],Rotary,Rotation
[7],Way Straightness,Weggeradheit
[8],Flatness,Ebenheit
[9],Diagonal,Diagonal
[10],Lin. Time Base,Lin. Zeitmessung
[11],Ang. Time Base,Winkel Zeitmessung
[12],Str. Time Base,Geradheit Zeitmess.
[13],Lin. Dual Axes,Lin. Doppelaxen
[14],Start,Start
[15],Max,Max
[16],Min,Min
[17],Mean,Mittel
[18],End,End
[19],Location,Aufstellungsort
[20],T start,T start
[21],T end,T end
[22],Auto,Auto
[23],Manual,Manuell
[24],Metric,Metrisch
[25],English,Englisch
[26],Bidirectional,Bidirektional
[27],Unidirectional,Unidirektional
[28],Pilgrim,Pilger
[29],Spindle,Spindel
[30],Coplanar,Koplanar
[31],Short Range,Nahbereich
[32],Long Range,Weitbereich
[33],Encoder,Schrittg.
[34],Up/Down,Vor./Rückw.
[35],Position,Position
[36],Total Time,Gesamtzeit
[37],Total Points,Gesamtpunkte
[38],User,Benutzerdef.
[39],Repeatability,Wiederholbarkeit
[40],Mean Reversal Error,Mittl. Umkehrspanne
[41],Sys. Dev. Pos.,Sys.Abw.Pos.
[42],Raw Accuracy,Rohmeßunsicherheit
[43],Raw Repeatability,Rohwiederholbarkeit
[44],Max Reversal Error,Max. Umkehrspanne
[45],6 Sigma (total pop.),6 Sigma - Gesamtvert.
[46],Slope,Steigung
[47],Least Squares,Kleinste Quadrate
[48],End Points,Endpunkte
[49],Forward Data Runs,Vorwärts-Datenläufe
[50],Forward Mean,Mittelw. - pos. Anf.-Rchtg
[51],Forward +/-n sigma,Vorwärts +- n-Sigma
[52],Reverse Data Runs,Rückwärts-Datenläufe
[53],Reverse Mean,Mittelw. - neg. Anf.-Rchtg
[54],Reverse +/-n sigma,Rückwärts +- n-Sigma
[55],Combined Mean,Kombinierter Mittelwert
[56],Combined +/-n sigma,Kombiniert +- n-Sigma
[57],Remove Raw Offset,Rohversetzung entfernen
[58],Mean Bidir. Pos. Dev.,bidirekt.Positionsmitte -Abweichung
[59],Backlash / pt.,Umkehrspanne / Meßpos.
[60],Laser,Laser
[61],Error,Abweichung
[62],Target,Ziel
[63],Rotary,Rotation
[64],Angle,Winkel
[65],Time,Zeit
[66],Velocity,Gschwdkt
[67],Station,Station
[68],Correction,Korrektur
[69],Absolute,Absolut
[70],Incremental,Relativ
[71],Algebraic,Algebraic
[72],Calibrator,Calibrator
[73],Acceleration,Beschleunigung
[74],Statistics,Statistik
[75],Graph,Graph
[76],Data,Daten
[77],Comp.,Komp.
[78],Env.,Umgebung
[79],All,Alle
[80],No,Nein
[81],Yes,Ja
[82],Moody Analyzed,Moody analysiert
[83],Licensed E1735A,Lizenz E1735A
[84],Keyboard Error,Tast.-Eing.-Abw.
[85],Measurement Type,Vermessungsart
[86],Current Date,Aktuelles Datum
[87],Error,Abweichung
[88],Standards,Normen
[89],Modified,Modifiziert
[90],User Defined,Benutzerdef.
[91],Auto Reset After Error,Automatisch Zurücksetzen
[92],Beep on Record,Ton bei Aufnahme
[93],Same As Axis 1,Wie Axe 1
