Keysight E1733A String Table
Italian

[1],Linear,Lineare
[2],Angular,Angolare
[3],Straightness,Rettilineit?
[4],Squareness,Perpendicolarit?
[5],Parallelism,Parallelismo
[6],Rotary,
[7],Way Straightness,Rettilineit?Angolare
[8],Flatness,Planarit?
[9],Diagonal,Diagonale
[10],Lin. Time Base,
[11],Ang. Time Base,
[12],Str. Time Base,
[13],Lin. Dual Axes,
[14],Start,
[15],Max,Max
[16],Min,Min
[17],Mean,Media
[18],End,
[19],Location,Ubicazione
[20],T start,
[21],T end,
[22],Auto,Auto
[23],Manual,Manuale
[24],Metric,Metriche
[25],English,Inglesi
[26],Bidirectional,Bidirezionale
[27],Unidirectional,Unidirezionale
[28],Pilgrim,Pellegrino
[29],Spindle,mandrino
[30],Coplanar,complanare
[31],Short Range,Breve portata
[32],Long Range,Lunga portata
[33],Encoder,Encoder
[34],Up/Down,Su/gi?
[35],Position,Posiz.
[36],Total Time,Tempo totale
[37],Total Points,
[38],User,Utente
[39],Repeatability,Ripetibilit?
[40],Mean Reversal Error,Errore inversione medio
[41],Sys. Dev. Pos.,Pos. Dev. Sis.
[42],Raw Accuracy,Accur. originale
[43],Raw Repeatability,Ripetibilit?originale
[44],Max Reversal Error,Errore inversione max
[45],6 Sigma (total pop.),6 Sigma (pop. tot.)
[46],Slope,Inclinaz.
[47],Least Squares,Min. quadrati
[48],End Points,Punti estremi
[49],Forward Data Runs,Serie dati avanti
[50],Forward Mean,Media avanti
[51],Forward +/-n sigma,+-n sigma avanti
[52],Reverse Data Runs,Serie dati indietro
[53],Reverse Mean,Media inversa
[54],Reverse +/-n sigma,+-n sigma indietro
[55],Combined Mean,Media combinata
[56],Combined +/-n sigma,+- n sigma combinate
[57],Remove Raw Offset,Rimuovere offset originale
[58],Mean Bidir. Pos. Dev.,
[59],Backlash / pt.,Giuoco/punto
[60],Laser,LASER
[61],Error,Errore
[62],Target,Trag.
[63],Rotary,
[64],Angle,Angolo
[65],Time,Ora
[66],Velocity,Velocit?
[67],Station,Stazione
[68],Correction,Correzione
[69],Absolute,Assoluto
[70],Incremental,Incrementale
[71],Algebraic,algebrico
[72],Calibrator,calibratore
[73],Acceleration,Accelerazione
[74],Statistics,statistiche
[75],Graph,Grafico
[76],Data,
[77],Comp.,Comp.
[78],Env.,
[79],All,
[80],No,
[81],Yes,
[82],Moody Analyzed,Analizzato Moody
[83],Licensed E1735A,
[84],Keyboard Error,Errore tastiera
[85],Measurement Type,Tipo misura
[86],Current Date,Data corrente
[87],Error,Errore
[88],Standards,Standard
[89],Modified,modificato
[90],User Defined,Defin. utente
