Keysight E1733A String Table
Korean

[1],Linear,거리변위
[2],Angular,각도변위
[3],Straightness,진직도
[4],Squareness,직각도
[5],Parallelism,평행도
[6],Rotary,회전
[7],Way Straightness,경로 진직도
[8],Flatness,평면도
[9],Diagonal,대각선
[10],Lin. Time Base,거리변위 vs 시간
[11],Ang. Time Base,각도변위 vs 시간
[12],Str. Time Base,진직도 vs 시간
[13],Lin. Dual Axes,두축 거리변위
[14],Start,시작
[15],Max,최대
[16],Min,최소
[17],Mean,평균
[18],End,종료
[19],Location,위치
[20],T start,시작 시간
[21],T end,종료 시간
[22],Auto,자동
[23],Manual,수동
[24],Metric,미터법
[25],English,인치법
[26],Bidirectional,양방향
[27],Unidirectional,단방향
[28],Pilgrim,순례 방향
[29],Spindle,회전평행
[30],Coplanar,평면평행
[31],Short Range,단 거리
[32],Long Range,장 거리
[33],Encoder,인코더
[34],Up/Down,상호통신
[35],Position,위치
[36],Total Time,총 시간
[37],Total Points,총 포인트
[38],User,사용자
[39],Repeatability,반복정확도
[40],Mean Reversal Error,평균 역방향 오차
[41],Sys. Dev. Pos.,장비의 위치 편차
[42],Raw Accuracy,원시 정밀도
[43],Raw Repeatability,원시 반복도
[44],Max Reversal Error,최대 역방향 오차
[45],6 Sigma (total pop.),6 시그마 (총 pop.)
[46],Slope,기울기
[47],Least Squares,최소자승법
[48],End Points,끝점
[49],Forward Data Runs,정방향 측정 값
[50],Forward Mean,정방향 평균 값
[51],Forward +/-n sigma,정방향 +/- 시그마
[52],Reverse Data Runs,역방향 측정 값
[53],Reverse Mean,역방향 평균 값
[54],Reverse +/-n sigma,역방향 +/- 시그마
[55],Combined Mean,종합 평균 값
[56],Combined +/-n sigma,종합 +/- 시그마
[57],Remove Raw Offset,원시 옵셋 제거
[58],Mean Bidir. Pos. Dev.,양방향 위치의 평균 편차
[59],Backlash / pt.,백래쉬/포인트
[60],Laser,레이저
[61],Error,오차
[62],Target,설정 위치
[63],Rotary,각도 위치
[64],Angle,각도
[65],Time,시간
[66],Velocity,속도
[67],Station,측정점 
[68],Correction,보정
[69],Absolute,절대
[70],Incremental,상대
[71],Algebraic,대수
[72],Calibrator,교정기
[73],Acceleration,가속도
[74],Statistics,통계
[75],Graph,그래프
[76],Data,데이터
[77],Comp.,보정
[78],Env.,환경
[79],All,전축
[80],No,아니오
[81],Yes,예
[82],Moody Analyzed,무디스의 분석
[83],Licensed E1735A,인증 E1735A
[84],Keyboard Error,오류값 입력
[85],Measurement Type,측정 유형
[86],Current Date,현재의 날짜 및 시간
[87],Error,오차
[88],Standards,규격
[89],Modified,수정
[90],User Defined,사용자 정의
[91],Auto Reset After Error,자동 재설정
[92],Beep on Record,기록시 신호음
[93],Same As Axis 1,1 축과 동일
[94],Auto Time Scale,시구간 자동설정
[95],Stop On Error,오류 정지
[96],Limit Lines,제한 선
[97],User Scale,사용자 구간
[98],Legend,범례
[99],Targets in Row,목표값 표시
[100],Goto Row,지정된 행으로 이동
[101],Max. Elevation,최대 고저차
[102],Air Pressure,공기압
[103],Air Temperature,공기온도
[104],Relative Humidity,상대습도
[105],Material Temp. 1,물체 온도 1
[106],Material Temp. 2,물체 온도 2
[107],Material Temp. 3,물체 온도 3
[108],Update Method,업데이트 방법
[109],Environmental Units,환경 단위
[110],Compensation,환경 보상
[111],Laser Wavelength,레이저 파장
[112],Wavelength Compensation,파장 보상
[113],Total Compensation Number,총 보상계수
[114],Travel,이동
[115],Measurement Axis,측정 축
[116],Travel Mode,이동 방법
[117],No. of Cycles,반복측정수
[118],Direction,방향
[119],Targets,설치 목표
[120],Start Position,시작위치
[121],End Position,종료위치
[122],No. of Points,측정점 수
[123],Interval,간격
[124],Foot Spacing,측정자 간격
[125],Way Length,경로길이
[126],# of Stations,측정점수
[127],Analyze Data,데이터 분석
[128],Material Compensation,재질 보정
[129],Expans. Coeff.,팽창계수
[130],Units,단위
[131],Error Units,오차단위
[132],Position Units,위치단위
[133],Display Resolution,표시분해능
[134],Measurement Units,측정단위
[135],Other,기타
[136],Rotary Resolution,회전분해능
[137],Optical Square,광학직각
[138],Averaging,평균값
[139],Calibration Factor,보정계수
[140],Dead Path,데드패스
[141],Preset,프리셋
[142],Trigger,트리거
[143],Encoder Resolution,엔코더 분해능
[144],Trigger Type,트리거 형태
[145],Target Window,설정 범위
[146],Trigger Dwell,설정 시간
[147],Test Conditions,측정 조건들
[148],Temperature Sensor,온도센서
[149],Material Sensor #1,재질 온도센서#1
[150],Material Sensor #2,재질 온도센서#2
[151],Material Sensor #3,재질 온도센서#3
[152],Air Sensor,공기 센서
[153],Test Parameters,측정 항목
[154],Type of Scale,교정 유형
[155],Compensation Used,사용한 보정
[156],Feed Rate,이송 속도
[157],NDE Correction (yes or no),NDE 보정(예 또는 아니오)
[158],Dwell Time at Each Target Position,각 설정 위치에서의 머무는 시간
[159],Measuring Information,측정 정보
[160],Measuring Instrument and Serial No.,측정기기 와 일련번호
[161],Name of Inspector,관리자 이름
[162],Date of Test,측정 날짜
[163],Machine Name,기기 명
[164],Machine Type,기기 형태
[165],Machine Serial No.,기기 고유번호
[166],Machine Name; Type and Serial No.,기기 명; 형태와 고유번호
[167],Test Location,측정 위치
[168],Position of axes not under test,위치 검증되지 않은 축
[169],Coefficient of Thermal Expansion of Scale,위치 검출기의 열팽창 계수
[170],Offset to Tool Reference (X/Y/Z),공구 기준 오프셋 (X / Y / Z)
[171],Offset to Workpiece Reference (X/Y/Z),피 가공품 기준 오프셋 (X / Y / Z)
[172],Stop Timer,타이머 정지
[173],Start Timer,타이머 시작
[174],Timer,타이머 
[175],No. of Points,측정점수
[176],Total Time,총 시간
[177],Coverage Factor,적용계수
[178],Numerical Analysis,수치해석
[179],Graphic Analysis,그래프해석
[180],Machine Model No.,기기 모델 번호
[181],Asset No.,관리번호
[182],Filename,파일명
[183],Comments,주석
[184],End Point Time Out,최대 머무는 시간
[185],Time Base,시간 기준
[186],Default Path,기본 경로
[187],Language,언어
[188],System,시스템
[189],Error Sign Convention,오차 표시 규정
[190],Zero Point,기계 영점
[191],Machine Units,기기 단위
[192],Measurement Setup,측정 설치
[193],Machine Information,기기 정보
[194],ISO Information,ISO 정보
[195],Data Analysis,데이터 분석
[196],Axis:,축:
[197],Deviation,편차
[198],Port,포트
[199],Sensor,센서
[200],Description,서술
[201],Used for,용도
[202],USB Axis Module,USB 측정 모듈
[203],Sensor Hub,센서 허브
[204],Material Sensor,물체 온도 센서
[205],Air Sensor,공기 센서
[206],Serial No.,일련번호
[207],Hardware,하드웨어
[208],Test Record Button,측정 기록 버튼
[209],Hardware Not Ready,하드웨어의 준비가되어 있지 않습니다
[210],No License,라이센스 없습니다
[211],Laser Off or Warming Up,레이저의 전원이 꺼져 있거나 예열 중
[212],No Return Beam,반사 측정 광이 없음
[213],Reset Position,재설정
[214],Optics Out Of Range,광학계가 범위를 벗어남
[215],Nameplate,명판
[216],Step 1: Reset laser and rotary at 0 arcdeg,단계 1: 레이저 재설치 와 rotary 0 arcdeg 위치에
[217],Step 2: Sample between -3 and -4 arcdeg,단계 2: ROTARY  -3 과 -4 arcdeg 사이에 위치
[218],Step 3: Sample between +3 and +4 arcdeg,단계 3: ROTARY  +3 과 +4 arcdeg 사이에 위치
[219],Keysight Technologies Inc.,Keysight Technologies Inc.
[220],Revision,개정
[221],Dimensional Metrology Software,치수 계측 소프트웨어
[222],All Rights Reserved,판권 소유
[223],Open,열기
[224],Setup,설치
[225],Start,시작
[226],Reset,재설치
[227],Continue,연속
[228],Stop,정지
[229],Save,저장
[230],Print,인쇄
[231],Record,기록
[232],Erase,삭제
[233],Help,도움말
[234],Exit,종료
[235],OK,예
[236],Cancel,아니오
[237],Calibrate,보정
[238],Recalculate,재계산
[239],Apply,적용
[240],Import,가져오기
[241],Setup + Data,설치 + 데이터
[242],All Data,모든 데이터
[243],Last Run,마지막 수행
[244],Last Data,마지막 데이터
[245],Setup Only,설치만
[246],Raw Data,원 데이터
[247],Compensation Table,보상표
[248],Environmental Data,환경보상 데이터
[249],Setup Printer,프린터 설정
[250],Report,보고서
[251],Collecting data . . .,데이터 수집 ~ . . .
[252],Text File,문서 파일
[253],CSV (comma delimited),CSV (쉼표로 분리)
[254],Plus/Minus,plus(+)/minus(-)
[255],Closure,종료
[256],Elevation,고도
[257],Data Point,데이터 포인트
[258],Combined,결합
[259],Forward,정방향
[260],Reverse,역방향
[261],Warning,경고
[262],Tested Axis,측정 축
[263],Axis Deviation,위치 정확도
[264],Reversal Value,역방향 값
[265],Mean Reversal Value,평균 역방향 값
[266],Range Mean Bidirectional Positional Deviation,평균 양방향 위치 편차
[267],Systematic Positional Deviation,계통적 위치 편차
[268],Repeatability of Positioning,위치 반복도
[269],Accuracy,정밀도
[270],Unidirectional,단방향
[271],Bidirectional,양방향
[272],Not Applicable,적용불가
[273],Target Position,설정 위치
[274],Approach Direction,접근 방향
[275],Positional Deviation,위치 편차
[276],Mean Unidir. Pos. Dev.,단방향 위치 평균 편차
[277],Est. of Standard Uncertainty,표준 불확도 추정
[278],Unidir. Repeatability,단방향 반복도
[279],Bidir. Repeatability,양방향 반복도
[280],(Used for NDE Correction),(NDE 보정에 사용)
[281],Data not saved,데이터 저장되어 있지 않습니다
[282],Measurement not completed,측정이 완벽하지 않습니다
[283],Reset position?,위치 재설치 ?
[284],Measurement completed,측정 완료
[285],Measurement terminated,측정 종료
[286],Measurement completed with %d data lost,측정 완료되었습니다만  %d 데이터가 누락되었습니다
[287],Measurement of current axis completed,이 축의 측정 완료
[288],Cannot open file,파일이 열리지 않습니다
[289],Cannot save file,파일을 저장할 수 없습니다
[290],%s / %s must be an integer,%s /%s 정수 입력
[291],Inconsistent values,값이 일치 하지 않습니다
[292],Invalid entry,잘못된 입력
[293],No. of cycles doesn't comply ISO standard. Print?,"측정 횟수가 ISO 기준에 미달합니다, 인쇄 할까요 ?"
[294],All Files,모든 파일
[295],Legacy Files,기존 파일
[296],Firmware,펌웨어
[297],Driver,드라이버
[298],Library,라이브러리
[299],User Calibration,사용자 교정
[300],Shift,시프트
[301],Modify data by user?,사용자가 데이타 수정 ?
[302],Optics,광학계
[303],Default,기본
[304],Saved,저장
[305],Average Material Temp.,평균 물체 온도
[306],Current Axis,현재 축
[307],Extended Resolution,확장 분해능
[308],Data Lost,데이터 손실
[309],Information,정보
[310],Keyboard Position,키보드 위치
[311],Outside Target Window,대상 범위 외
[312],Inside Target Window,대상 범위 내
[313],Target List,대상 범위 항목
[314],Interpolate,중간 항 삽입
[315],Compensation Values,보상 값
[316],None,없음
[317],Already running [%s] software,[% s] 소프트웨어를 이미 실행 중입니다
[318],Offline Mode,오프라인 모드
[319],Main Menu,메인 메뉴
[320],Numeric Display,수치 표시
[321],Default Display Mode,기본 표시 모드
[322],Advanced Options,고급 옵션
[323],Pos. Uncertnty,위치 불확실성
[324],Sorted by position number,위치 번호 순으로 정렬
[325],Sorted by run number,측정 번호 순으로 정렬
[326],Sorted by line number,축 번호 순으로 정렬
[327],Number of total data pairs,총 측정 수
[328],Number of total data runs,데이터 계측 합계
[329],Axis 2 Data,축 2 데이터
[330],Out of spec,사양 범위 외의.
[331],Target Value,설정 값
[332],Error Value,오차 값
[333],Pos #,위치 #
[334],Run #,계측 #
[335],Line #,축 #
[336],Point #,점 #
[337],Position,위치
[338],Coefficient of Thermal Expansion,열팽창 계수
[339],Compensation Routine,보정 갱신주기
[340],Update Each %s ,업데이트 %s
[341],Equation,공식
[342],Parameter,매개 변수
[343],Air Conditions Used for Compensation of Laser Interferometer,레이저 간섭계 대기 조건을 보상
[344],Positioning Measurement,위치 측정
[345],Estimation of Measurement Uncertainty,측정 불확도 추정
[346],Laser Interferometer Measurement,레이저 간섭계 측정
[347],Simplified Method,간이 방법
[348],Average Industial Conditions,평균적인 공장 조건
[349],Improved Industrial Conditions,개선 된 공장 조건
[350],Contributors,요인
[351],Device,장비
[352],Measurement Length,측정 길이
[353],Error Range,오차 범위
[354],Alignment,정렬
[355],Beam Alignment,빔 정렬
[356],Misalignment,오정렬
[357],Compensation of Workpiece Temperature,공작물 온도 보정
[358],Thermal Expansion Coefficient,열팽창 계수
[359],Difference to 20C,20 °의 차이
[360],Temperature Measurement,온도 측정
[361],Maximum,최대
[362],Machine Tool,공작 기기
[363],Zero,제로
[364],Included in U(%s),U (%s)에 포함
[365],Environmental Variation,환경 변화
[366],Correction of R Values Due to U(EVE),불확도 U (EVE)에 의한 반복성 R 값 수정
[367],Correction of Repeatability Values,반복 값의 보정
[368],According to Table,표에 따라
[369],Typical Results,전형적인 결과
[370],At Target %s,대상 %의
[371],For R According to Table,R에서 사용 형태에 따라
[372],Corrected,수정 후
[373],Uncorrected,수정 전
[374],Assumed,가정
[375],Calibrated Measuring Device,교정 된 장비
[376],Uncertainty of Expansion Coefficient,선팽창 계수의 불확도
[377],Unit,단위
[378],Amplitude,진폭
[379],Frequency,주파수
[380],Show Legend,범례 표시
[381],Show Machine Info.,기기 정보 보기
[382],Merge Data,데이터 병합
[383],Can't combine different data types or target lists,다른 데이터 유형 또는 대상 목록을 결합 할 수 없습니다.
[384],Synchronized Operation,동기화 작업
[385],Demo Mode,데모 모드
[386],Rotary Table,회전 테이블
[387],Printer,프린터
[388],Copies,복사
[389],Orientation,방향
[390],Portrait,초상화
[391],Landscape,경치
[392],Download,다운로드
[393],User defined download program,사용자 정의 다운로드 프로그램
[394],File not found,화일을 찾을 수 없습니다.
[395],Show Hint,
[396],Extra Margin,
[397],Left,
[398],Top,
[399],Right,
[400],Bottom,
[401],Calibration Due,
[402],Calibration Expired,
[403],Calibration Period,
[404],Month,
[405],Dual Axis,
[406],Single Axis,
[407],Hysteresis,

[1001],Install,실행
[1002],[%s] will be installed in the following folder,[%s]가 다음 폴더에 설치됩니다
[1003],[%s] has been successfully installed,[%s]를 성공적으로 설치했습니다
[1004],Failed to install [%s],설치 실패 [%s]
[1005],Remove,삭제
[1006],Remove all components of [%s],[%s]의 모든 구성 요소를 제거
[1007],[%s] has been removed,[%s]가 삭제되었습니다
[1008],Failed to remove [%s],[%s]의 삭제하는 데 실패 
[1009],Reinstall,다시 설치
[1010],Please close program [%s] first,프로그램를 닫으십시오 [%s]
[1011],Install Path,설치 경로
[1012],User Data,사용자 데이터
