Keysight E1733A String Table
SimpChn

[1],Linear,线性
[2],Angular,角度
[3],Straightness,直线度
[4],Squareness,垂直度
[5],Parallelism,平行度
[6],Rotary,旋转
[7],Way Straightness,导轨直线度
[8],Flatness,平面度
[9],Diagonal,对角线
[10],Lin. Time Base,线性时基
[11],Ang. Time Base,角度时基
[12],Str. Time Base,直线度时基
[13],Lin. Dual Axes,线性双轴
[14],Start,起点
[15],Max,最大
[16],Min,最小
[17],Mean,平均
[18],End,终点
[19],Location,位置
[20],T start,开始温度
[21],T end,结束温度
[22],Auto,自动
[23],Manual,手动
[24],Metric,公制
[25],English,英制
[26],Bidirectional,双向
[27],Unidirectional,单向
[28],Pilgrim,阶梯循环
[29],Spindle,主轴
[30],Coplanar,共平面
[31],Short Range,短量程
[32],Long Range,长量程
[33],Encoder,编码器
[34],Up/Down,上/下
[35],Position,位置
[36],Total Time,总时间
[37],Total Points,总点数
[38],User,用户
[39],Repeatability,重复性
[40],Mean Reversal Error,平均反向差值
[41],Sys. Dev. Pos.,定位系统偏差
[42],Raw Accuracy,原始精度
[43],Raw Repeatability,原始重复性
[44],Max Reversal Error,最大反向误差
[45],6 Sigma (total pop.),6 Sigma (全体)
[46],Slope,斜率
[47],Least Squares,最小二乘法
[48],End Points,端点法
[49],Forward Data Runs,正向数据
[50],Forward Mean,正向平均值
[51],Forward +/-n sigma,正向 ±n*sigma
[52],Reverse Data Runs,反向数据
[53],Reverse Mean,反向平均值
[54],Reverse +/-n sigma,反向 ±n*sigma
[55],Combined Mean,组合平均
[56],Combined +/-n sigma,组合±n-sigma
[57],Remove Raw Offset,去除原始偏移
[58],Mean Bidir. Pos. Dev.,双向平均位置偏差
[59],Backlash / pt.,间隙/点
[60],Laser,激光
[61],Error,误差
[62],Target,目标
[63],Rotary,转台
[64],Angle,角度
[65],Time,时间
[66],Velocity,速度
[67],Station,站点
[68],Correction,修正
[69],Absolute,绝对
[70],Incremental,增量
[71],Algebraic,几何
[72],Calibrator,校准
[73],Acceleration,加速度
[74],Statistics,统计
[75],Graph,图解
[76],Data,数据
[77],Comp.,补偿
[78],Env.,环境
[79],All,全
[80],No,否
[81],Yes,是
[82],Moody Analyzed,穆迪分析
[83],Licensed E1735A,已授权的E1735A
[84],Keyboard Error,键入误差值
[85],Measurement Type,测量类型
[86],Current Date,当前日期
[87],Error,误差
[88],Standards,标准
[89],Modified,修改
[90],User Defined,用户定义
[91],Auto Reset After Error,自动复位
[92],Beep on Record,记录时鸣响
[93],Same As Axis 1,与轴1相同
[94],Auto Time Scale,自动时间坐标
[95],Stop On Error,出错停止
[96],Limit Lines,限制线
[97],User Scale,用户比例
[98],Legend,图例
[99],Targets in Row,目标在竖行
[100],Goto Row,跳转到行
[101],Max. Elevation,最大高差
[102],Air Pressure,气压
[103],Air Temperature,气温
[104],Relative Humidity,相对湿度
[105],Material Temp. 1,材料温度1
[106],Material Temp. 2,材料温度2
[107],Material Temp. 3,材料温度3
[108],Update Method,更新方式
[109],Environmental Units,环境参数单位
[110],Environmental Compensation,环境补偿
[111],Laser Wavelength,激光波长
[112],Wavelength Compensation,波长补偿
[113],Total Compensation Number,总补偿值
[114],Travel,行程
[115],Measurement Axis,测量轴
[116],Travel Mode,行进模式
[117],No. of Cycles,重复次数
[118],Direction,方向
[119],Targets,目标
[120],Start Position,起始位置
[121],End Position,终点位置
[122],No. of Points,测量点数
[123],Interval,间隔
[124],Foot Spacing,脚间距
[125],Way Length,导轨长度
[126],# of Stations,站点数
[127],Analyze Data,分析数据
[128],Material Compensation,材料修正
[129],Expans. Coeff.,膨胀系数
[130],Units,单位
[131],Error Units,误差单位
[132],Position Units,位置单位
[133],Display Resolution,显示分辨率
[134],Measurement Units,测量单位
[135],Other,其它
[136],Rotary Resolution,转台分辨率
[137],Optical Square,光学直角镜
[138],Averaging,平均化
[139],Calibration Factor,校准因数
[140],Dead Path,死径
[141],Preset,预设
[142],Trigger,触发装置
[143],Encoder Resolution,编码器分辨率
[144],Trigger Type,触发方式
[145],Target Window,目标窗口
[146],Trigger Dwell,触发停留
[147],Test Conditions,检验条件
[148],Temperature Sensor,温度传感器
[149],Material Sensor #1,材料传感器#1
[150],Material Sensor #2,材料传感器#2
[151],Material Sensor #3,材料传感器#3
[152],Air Sensor,空气传感器
[153],Test Parameters,检验参数
[154],Type of Scale,检测元件的类型
[155],Compensation Used,使用补偿
[156],Feed Rate,进给速度
[157],NDE Correction (yes or no),NDE 修正(是或否)
[158],Dwell Time at Each Target Position,在每一目标位置停留时间
[159],Measuring Information,测量信息
[160],Measuring Instrument and Serial No.,测量仪器及序号
[161],Name of Inspector,检验员姓名
[162],Date of Test,检验日期
[163],Machine Name,机器名称
[164],Machine Type,机器类型
[165],Machine Serial No.,机器序号
[166],Machine Name; Type and Serial No.,机器名称、类型和序号
[167],Test Location,检验位置
[168],Position of axes not under test,不在检验中的轴线位置
[169],Coefficient of Thermal Expansion of Scale,检测元件的热膨胀系数
[170],Offset to Tool Reference (X/Y/Z),刀具基准偏置 (X/Y/Z)
[171],Offset to Workpiece Reference (X/Y/Z),工件基准偏置 (X/Y/Z)
[172],Stop Timer,停止定时器
[173],Start Timer,启动定时器
[174],Timer,定时器
[175],No. of Points,测量点数
[176],Total Time,总时间
[177],Coverage Factor,覆盖因子
[178],Numerical Analysis,数值分析
