Keysight E1733A String Table
Spanish

[1],Linear,Lineal
[2],Angular,Angular
[3],Straightness,Rectitud
[4],Squareness,Perpendic.
[5],Parallelism,Paralelismo
[6],Rotary,Giro
[7],Way Straightness,Rectitud de Trayecto
[8],Flatness,Planitud
[9],Diagonal,Diagonal
[10],Lin. Time Base,Lin. En Base a Tiempo
[11],Ang. Time Base,Ang. En Base a Tiempo
[12],Str. Time Base,Rect.En Base a Tiempo
[13],Lin. Dual Axes,Lin. Dos Ejes
[14],Start,Inicio
[15],Max,Máx.
[16],Min,Mín.
[17],Mean,Media
[18],End,Fin
[19],Location,Ubicación
[20],T start,T inicio
[21],T end,T fin
[22],Auto,Auto
[23],Manual,Manual
[24],Metric,Métricas
[25],English,Inglesas
[26],Bidirectional,Bidireccional
[27],Unidirectional,Unidireccional
[28],Pilgrim,Aleatorio
[29],Spindle,Cabezal
[30],Coplanar,Coplanar
[31],Short Range,Rango corto
[32],Long Range,Rango largo
[33],Encoder,Encoder
[34],Up/Down,Arriba/Abajo
[35],Position,Posición
[36],Total Time,Tiempo total
[37],Total Points,T N. De Puntos
[38],User,Usuario
[39],Repeatability,Repetibilidad
[40],Mean Reversal Error,Error med. rec. vuelta
[41],Sys. Dev. Pos.,Pos.dev.sis.
[42],Raw Accuracy,Precisión recorrido
[43],Raw Repeatability,Repetibilidad recorrido
[44],Max Reversal Error,Error máx. rec. vuelta
[45],6 Sigma (total pop.),6 Sigma (total pobl.)
[46],Slope,Pendnte
[47],Least Squares,Mínimos cuadr.
[48],End Points,Puntos finales
[49],Forward Data Runs,Datos recorridos ida
[50],Forward Mean,Media recorr. ida
[51],Forward +/-n sigma,Recorr. ida +-n-sigma
[52],Reverse Data Runs,Datos recorridos vuelta
[53],Reverse Mean,Media recorr. vuelta
[54],Reverse +/-n sigma,Recorr. vuelta +-n-sigma
[55],Combined Mean,Media combinada
[56],Combined +/-n sigma,Combinado +- n-sigma
[57],Remove Raw Offset,Suprimir Offset recorrido
[58],Mean Bidir. Pos. Dev.,Mean Bidir. Pos. Dev.
[59],Backlash / pt.,Efecto react. / punto
[60],Laser,LÁSER
[61],Error,Error
[62],Target,Posición
[63],Rotary,Giro
[64],Angle,Ángulo
[65],Time,Hora
[66],Velocity,Veloc.
[67],Station,Estación
[68],Correction,Corrección
[69],Absolute,Absoluto
[70],Incremental,Incremental
[71],Algebraic,algebraica
[72],Calibrator,calibrador
[73],Acceleration,Aceleración
[74],Statistics,estadísticas
[75],Graph,Gráf.
[76],Data,Data
[77],Comp.,Comp.
[78],Env.,Amb.
[79],All,Todos
[80],No,No
[81],Yes,Si
[82],Moody Analyzed,Analizado Moody
[83],Licensed E1735A,Licensed E1735A
[84],Keyboard Error,Error por teclado
[85],Measurement Type,Tipo de medición
[86],Current Date,Fecha actual
[87],Error,Error
[88],Standards,Normas
[89],Modified,modificado
[90],User Defined,Def. por usuario
[91],Auto Reset After Error,Auto Reset Tras Error
[92],Beep on Record,Bip en registro
[93],Same As Axis 1,Igual que Eje 1
[94],Auto Time Scale,Escala Auto Time 
[95],Stop On Error,Parar con Error
[96],Limit Lines,Límite Líneas
[97],User Scale,Escala de Usuario
[98],Legend,LEYENDA
[99],Targets in Row,Puntos en fila
[100],Goto Row,Ir a la Fila
[101],Max. Elevation,Max. elevación
[102],Air Pressure,Presión aire
[103],Air Temperature,Temperatura aire
