Keysight E1733A String Table
TradChn

[1],Linear,線性
[2],Angular,線性角度
[3],Straightness,直線度
[4],Squareness,直角度
[5],Parallelism,平行度
[6],Rotary,旋轉角度
[7],Way Straightness,導軌直線度
[8],Flatness,平面度
[9],Diagonal,對角
[10],Lin. Time Base,線性時間基準
[11],Ang. Time Base,角位移時間基準
[12],Str. Time Base,直線度時間基準
[13],Lin. Dual Axes,雙軸線性量測
[14],Start,起點
[15],Max,最大
[16],Min,最小
[17],Mean,平均
[18],End,終點
[19],Location,位置
[20],T start,T 起點
[21],T end,T 終點
[22],Auto,自動
[23],Manual,手動
[24],Metric,公制
[25],English,英制
[26],Bidirectional,雙向的
[27],Unidirectional,單方向
[28],Pilgrim,搖盪式前進
[29],Spindle,主軸
[30],Coplanar,共平面
[31],Short Range,短距離
[32],Long Range,長距離
[33],Encoder,編碼器
[34],Up/Down,上/下
[35],Position,位置
[36],Total Time,總時間
[37],Total Points,總點數
[38],User,使用者定義
[39],Repeatability,重覆性
[40],Mean Reversal Error,平均反向差
[41],Sys. Dev. Pos.,系統偏移位置
[42],Raw Accuracy,原始值精度
[43],Raw Repeatability,原始值重覆度
[44],Max Reversal Error,最大反向差
[45],6 Sigma (total pop.),6 Sigma (total pop.)
[46],Slope,斜率
[47],Least Squares,最小平方
[48],End Points,端點
[49],Forward Data Runs,去程資料執行
[50],Forward Mean,去程平均值
[51],Forward +/-n sigma,去程 ±n-sigma
[52],Reverse Data Runs,回程資料執行
[53],Reverse Mean,回程平均
[54],Reverse +/-n sigma,回程 ±n-sigma
[55],Combined Mean,組合平均
[56],Combined +/-n sigma,組合 ±n-sigma
[57],Remove Raw Offset,修正數值起始點
[58],Mean Bidir. Pos. Dev.,平均雙向.位置.偏差.
[59],Backlash / pt.,背隙/點
[60],Laser,雷射
[61],Error,誤差
[62],Target,目標
[63],Rotary,旋轉
[64],Angle,角度
[65],Time,時間
[66],Velocity,速度
[67],Station,測站
[68],Correction,修正
[69],Absolute,絕對
[70],Incremental,增量
[71],Algebraic,幾何的
[72],Calibrator,校正儀
[73],Acceleration,加速度
[74],Statistics,統計
[75],Graph,圖表
[76],Data,資料
[77],Comp.,補償
[78],Env.,環境
[79],All,全部
[80],No,否
[81],Yes,是
[82],Moody Analyzed,Moody氏分析
[83],Licensed E1735A,E1735A序號登錄
[84],Keyboard Error,鍵盤誤差
[85],Measurement Type,量測的種類﹕
[86],Current Date,目前日期與時間：
[87],Error,誤差
[88],Standards,標準
[89],Modified,修正的
[90],User Defined,使用者定義
[91],Auto Reset After Error,自動重新歸零
[92],Beep on Record,記錄時會嚮嗶聲
[93],Same As Axis 1,與軸向1相同
[94],Auto Time Scale,自動縮放時間軸比例
[95],Stop On Error,錯誤停止
[96],Limit Lines,機器規格
[97],User Scale,自定義縮放比例
[98],Legend,圖例
[99],Targets in Row,以週期表示
[100],Goto Row,跳到指定行
[101],Max. Elevation,最高點
[102],Air Pressure,空氣氣壓：
[103],Air Temperature,空氣溫度：
[104],Relative Humidity,相對濕度：
[105],Material Temp. 1,材料溫度 (1)
[106],Material Temp. 2,材料溫度 (2)
[107],Material Temp. 3,材料溫度 (3)
[108],Update Method,更新方法
[109],Environmental Units,環境參數單位
[110],Compensation,環境補償
[111],Laser Wavelength,雷射波長
[112],Wavelength Compensation,波長校正係數
[113],Total Compensation Number,總共補償數：
[114],Travel,行進模式：
[115],Measurement Axis,量測軸
[116],Travel Mode,行進模式：
[117],No. of Cycles,週期數
[118],Direction,方向
[119],Targets,設置目標
[120],Start Position,起始位置
[121],End Position,終點位置
[122],No. of Points,量測點數
[123],Interval,間隔
[124],Foot Spacing,腳間距
[125],Way Length,導軌長度
[126],# of Stations,測站# ：
[127],Analyze Data,分析資料
[128],Material Compensation,材料補償
[129],Expans. Coeff.,膨脹係數
[130],Units,單位：
[131],Error Units,誤差單位
[132],Position Units,位置單位
[133],Display Resolution,顯示單位
[134],Measurement Units,量測單位
[135],Other,其他設置
[136],Rotary Resolution,編碼器解析度
[137],Optical Square,光學直角鏡：
[138],Averaging,平均化時間(秒)
[139],Calibration Factor,校正係數
[140],Dead Path,死徑
[141],Preset,預設
[142],Trigger,觸發裝置
[143],Encoder Resolution,編碼器解析度
[144],Trigger Type,觸發方式
[145],Target Window,目標視窗
[146],Trigger Dwell,觸發停止
[147],Test Conditions,測試條件
[148],Temperature Sensor,溫度感測器
[149],Material Sensor #1,材料溫度1感測器
[150],Material Sensor #2,材料溫度2感測器
[151],Material Sensor #3,材料溫度3感測器
[152],Air Sensor,氣壓感測器
[153],Test Parameters,測試參數
[154],Type of Scale,定標類型
[155],Compensation Used,使用的補償數
[156],Feed Rate,反饋率
[157],NDE Correction (yes or no),NDE 修正(""是""或""否"")
[158],Dwell Time at Each Target Position,在各目標位置的停留時間
[159],Measuring Information,量測資訊
[160],Measuring Instrument and Serial No.,測量儀器及序號
[161],Name of Inspector,檢驗員姓名
[162],Date of Test,測試日期
[163],Machine Name,機器名稱
[164],Machine Type,機器類型
[165],Machine Serial No.,機器序號
[166],Machine Name; Type and Serial No.,機器名稱、類型及序號
[167],Test Location,測試位置
[168],Position of axes not under test,未經測試軸的位置
[169],Coefficient of Thermal Expansion of Scale,熱膨脹比例係數
[170],Offset to Tool Reference (X/Y/Z),與工具參考間的偏差 (X/Y/Z)
[171],Offset to Workpiece Reference (X/Y/Z),與工件參考間的偏差 (X/Y/Z)
[172],Stop Timer,停止計時方式
[173],Start Timer,開始計時方式
[174],Timer,計時設置
[175],No. of Points,量測點數
[176],Total Time,總時間
[177],Coverage Factor, Coverage Factor
[178],Numerical Analysis,數值分析
[179],Graphic Analysis,圖表分析
[180],Machine Model No.,機器型號：
[181],Asset No.,財產編號：
[182],Filename,檔名：
[183],Comments,附註：
[184],End Point Time Out,最大停留時間
[185],Time Base,時間基準
[186],Default Path,預設路徑
[187],Language,語系
[188],System,系統
[189],Error Sign Convention,誤差符號規定
[190],Zero Point,機械零點
[191],Machine Units,機械單位
[192],Measurement Setup,量測設定
[193],Machine Information,機器資訊
[194],ISO Information,ISO資訊
[195],Data Analysis,數據分析
[196],Axis:,軸：
[197],Deviation,誤差
[198],Port,連接埠
[199],Sensor,感測器
[200],Description,說明
[201],Used for,使用於
[202],USB Axis Module,USB Axis Module
[203],Sensor Hub,Sensor Hub
[204],Material Sensor,材料感測器
[205],Air Sensor,空氣感測器
[206],Serial No.,序號：
[207],Hardware,設備
[208],Test Record Button,測試記錄按鈕
[209],Hardware Not Ready,設備尚未就緒
[210],No License,不正確的序號
[211],Laser Off or Warming Up,雷射關閉或暖機中
[212],No Return Beam,雷射光束被擋住
[213],Reset Position,重新歸零位置
[214],Optics Out Of Range,光學組件超出距離
[215],Nameplate,銘板
[216],Step 1: Reset laser and rotary at 0 arcdeg,步驟1：在 0度時將雷射歸零
[217],Step 2: Sample between -3 and -4 arcdeg,步驟2：在-3度到-4度之間紀錄數值
[218],Step 3: Sample between +3 and +4 arcdeg,步驟3：在3度到4度之間紀錄數值
[219],Keysight Technologies Inc.,Keysight Technologies Inc.
[220],Revision,Revision
[221],Dimensional Metrology Software,Dimensional Metrology Software
[222],All Rights Reserved,All Rights Reserved
[223],Open,開啟
[224],Setup,設置
[225],Start,起點
[226],Reset,重新歸零
[227],Continue,繼續
[228],Stop,停止
[229],Save,存檔
[230],Print,列印
[231],Record,記錄
[232],Erase,消除
[233],Help,說明
[234],Exit,離開
[235],OK,確認
[236],Cancel,取消
[237],Calibrate,校正係數
[238],Recalculate,重新計算
[239],Apply,確認
[240],Import,載入
[241],Setup + Data,設置 + 資料
[242],All Data,全部資料
[243],Last Run,最後一次執行
[244],Last Data,最後一次資料
[245],Setup Only,僅取設置
[246],Raw Data,原始資料
[247],Compensation Table,補償表
[248],Environmental Data,環境資料
[249],Setup Printer,選擇印表機
[250],Report,列印報告
[251],Collecting data . . .,收集資料 . . .
[252],Text File,純文字檔案
[253],CSV (comma delimited),CSV檔案
[254],Plus/Minus,正/負：
[255],Closure,閉合
[256],Elevation,高度：
[257],Data Point,資料點
[258],Combined,組合
[259],Forward,前進
[260],Reverse,後退
[261],Warning,警告
[262],Tested Axis,已測試軸
[263],Axis Deviation,軸向偏差
[264],Reversal Value,反向值
[265],Mean Reversal Value,反向平均值
[266],Range Mean Bidirectional Positional Deviation,雙向位置偏差的平均量程
[267],Systematic Positional Deviation,系統的位置偏差
[268],Repeatability of Positioning,位置的重覆度
[269],Accuracy,精度
[270],Unidirectional,單向
[271],Bidirectional,雙向
[272],Not Applicable,不適用
[273],Target Position,目標位置
[274],Approach Direction,接近方向
[275],Positional Deviation,位置偏差
[276],Mean Unidir. Pos. Dev.,單向平均位置偏差
[277],Est. of Standard Uncertainty,不確定度
[278],Unidir. Repeatability,單向重複定位精度
[279],Bidir. Repeatability,雙向重複定位精度
[280],(Used for NDE Correction),(用於NDE修正)
[281],Data not saved,資料尚未儲存，請確認是否退出
[282],Measurement not completed,量測尚未完成
[283],Reset position?,重新歸零位置？
[284],Measurement completed,量測完成
[285],Measurement terminated,量測結束
[286],Measurement completed with %d data lost,量測完成，但喪失 %d 資料
[287],Measurement of current axis completed,目前軸向量測完成
[288],Cannot open file,無法打開檔案
[289],Cannot save file,無法儲存檔案
[290],%s / %s must be an integer,%s / %s: 必須為整數
[291],Inconsistent values,數值不一致
[292],Invalid entry,無效的項目
[293],No. of cycles doesn't comply ISO standard. Print?,週期不符合ISO標準，仍要列印？
[294],All Files,全部檔案
[295],Legacy Files,傳統檔案格式
[296],Firmware,韌體
[297],Driver,驅動程式
[298],Library,資料庫
[299],User Calibration,User Calibration
[300],Shift,Shift
[301],Modify data by user?,用戶自行定義？
[302],Optics,光學組件
[303],Default,回復預設值
[304],Saved,回復紀錄值
[305],Average Material Temp.,平均材料溫度：
[306],Current Axis,目前軸向
[307],Extended Resolution,提高解析度
[308],Data Lost,喪失數據
[309],Information,保留資訊
[310],Keyboard Position,鍵入位置
[311],Outside Target Window,目標視窗外
[312],Inside Target Window,目標視窗內
[313],Target List,目標清單
[314],Interpolate,插入
[315],Compensation Values,補償值
